Team	Conference	Win Total
Air Force	Mountain West Conference	7.5
Akron	Mid-American Conference	4.5
Alabama	SEC	8.5
Appalachian State	Sun Belt Conference	5.5
Arizona	Big 12 Conference	7.5
Arizona State	Big 12 Conference	6.5
Arkansas	SEC	4.5
Arkansas State	Sun Belt Conference	6.5
Army	American Conference	7.5
Auburn	Southeastern Conference	6.5
BYU	Big 12	8.5
Ball State	Mid-American Conference	3.5
Baylor	Big 12 Conference	6.5
Boise State	Pac-12	7.5
Boston College	ACC	3.5
Bowling Green	Mid-American Conference	4.5
Buffalo	Mid-American Conference	5.5
California	ACC	6.5
Central Michigan	Mid-American Conference	6.5
Charlotte	American Conference	2.5
Cincinnati	Big 12 Conference	5.5
Clemson	ACC	7.5
Coastal Carolina	Sun Belt Conference	4.5
Colorado	Big 12	4.5
Colorado State	Pac-12 Conference	3.5
Delaware	Conference USA	6.5
Duke	Atlantic Coast Conference	5.5
East Carolina	American Conference	7.5
Eastern Michigan	MAC	5.5
FIU	Conference USA	6.5
Florida	SEC	7.5
Florida Atlantic	American Athletic Conference	5.5
Florida State	ACC	6.5
Fresno State	Pac-12 Conference	6.5
Georgia	SEC	9.5
Georgia Southern	Sun Belt Conference	4.5
Georgia State	Sun Belt Conference	4.5
Georgia Tech	ACC	6.5
Hawaii	Mountain West	7.5
Houston	Big 12 Conference	8.5
Illinois	Big Ten	7.5
Indiana	Big Ten Conference	10.5
Iowa	Big Ten	7.5
Iowa State	Big 12 Conference	4.5
Jacksonville State	Conference USA	7.5
James Madison	Sun Belt Conference	8.5
Kansas	Big 12	5.5
Kansas State	Big 12 Conference	8.5
Kennesaw State	Conference USA	6.5
Kent State	Mid-American Conference	3.5
Kentucky	SEC	4.5
LSU	SEC	8.5
Liberty	Conference USA	8.5
Louisiana	Sun Belt Conference	7.5
Louisiana Tech	Sun Belt Conference	5.5
Louisville	ACC	8.5
Marshall	Sun Belt	7.5
Maryland	Big Ten Conference	5.5
Memphis	American Conference	7.5
Miami FL	ACC	10.5
Miami OH	Mid-American Conference	7.5
Michigan	Big Ten	8.5
Michigan State	Big Ten	4.5
Middle Tennessee	Conference USA	3.5
Minnesota	Big Ten	6.5
Mississippi State	SEC	4.5
Missouri	SEC	6.5
Missouri State	Conference USA	4.5
NC State	ACC	7.5
Navy	American Conference	7.5
Nebraska	Big Ten	6.5
Nevada	Mountain West Conference	4.5
New Mexico	Mountain West Conference	7.5
New Mexico State	Conference USA	4.5
North Carolina	Atlantic Coast Conference	4.5
North Texas	American Athletic Conference	5.5
Northern Illinois	Mountain West Conference	3.5
Northwestern	Big Ten Conference	5.5
Notre Dame	Independent	11.5
Ohio	Mid-American Conference	6.5
Ohio State	Big Ten Conference	9.5
Oklahoma	SEC	7.5
Oklahoma State	Big 12 Conference	6.5
Old Dominion	Sun Belt	7.5
Ole Miss	SEC	7.5
Oregon	Big Ten Conference	10.5
Oregon State	Pac-12	4.5
Penn State	Big Ten Conference	8.5
Pittsburgh	ACC	7.5
Purdue	Big Ten Conference	3.5
Rice	American	3.5
Rutgers	Big Ten	4.5
SMU	ACC	8.5
Sacramento State	Mid-American Conference	4.5
Sam Houston	Conference USA	3.5
San Diego State	Pac-12	6.5
San Jose State	Mountain West Conference	4.5
South Alabama	Sun Belt Conference	5.5
South Carolina	SEC	6.5
South Florida	American	8.5
Southern Miss	Sun Belt Conference	3.5
Stanford	Atlantic Coast Conference	3.5
Syracuse	ACC	4.5
TCU	Big 12 Conference	6.5
Temple	American Athletic Conference	5.5
Tennessee	SEC	7.5
Texas	SEC	9.5
Texas A&M	SEC	8.5
Texas State	Pac-12 Conference	6.5
Texas Tech	Big 12 Conference	10.5
Toledo	Mid-American Conference	7.5
Troy	Sun Belt	6.5
Tulane	American Athletic Conference	7.5
Tulsa	American Athletic Conference	5.5
UAB	American Athletic Conference	3.5
UCF	Big 12	5.5
UCLA	Big Ten Conference	6.5
UConn	Independent	5.5
ULM	Sun Belt Conference	3.5
UMass	Mid-American Conference	2.5
UNLV	Mountain West Conference	7.5
USC	Big Ten Conference	8.5
UTEP	Mountain West Conference	3.5
UTSA	American Conference	7.5
Utah	Big 12	8.5
Utah State	Pac-12 Conference	4.5
Vanderbilt	SEC	5.5
Virginia	ACC	7.5
Virginia Tech	ACC	6.5
Wake Forest	ACC	5.5
Washington	Big Ten Conference	7.5
Washington State	Pac-12	4.5
West Virginia	Big 12	5.5
Western Kentucky	Conference USA	6.5
Western Michigan	Mid-American Conference	7.5
Wisconsin	Big Ten	6.5
Wyoming	Mountain West Conference	5.5
